City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,kiunga,-6.1219,141.2906,27.14,86,100,2.69,PG,02/08/2023 22:47:44
281,roald,62.5833,6.1333,6.53,75,20,10.29,NO,02/08/2023 22:44:41
282,yumen,40.2833,97.2,0.48,39,11,4.47,CN,02/08/2023 22:44:49
283,tsabong,-26.0217,22.401,20.36,70,38,3.23,BW,02/08/2023 22:47:44
284,coelho neto,-8.8485,-39.2117,22.53,67,48,6.0,BR,02/08/2023 22:47:45
285,cherskiy,68.75,161.3,-35.19,98,100,3.2,RU,02/08/2023 22:44:07
286,ojinaga,29.5667,-104.4167,12.45,53,0,1.54,MX,02/08/2023 22:44:02
287,morondava,-20.2833,44.2833,24.87,86,99,2.43,MG,02/08/2023 22:47:45
288,kushiro,42.975,144.3747,-4.47,74,75,5.66,JP,02/08/2023 22:47:45
289,mujiayingzi,42.1167,118.7833,-1.59,46,100,3.81,CN,02/08/2023 22:47:46
290,sal rei,32.5694,35.9119,2.34,73,71,0.95,JO,02/08/2023 22:47:46
291,fukue,32.6881,128.8419,11.2,54,0,4.12,JP,02/08/2023 22:45:38
292,adrar,20.5022,-10.0711,19.11,16,97,3.31,MR,02/08/2023 22:43:59
293,riyadh,24.6877,46.7219,10.08,48,56,5.01,SA,02/08/2023 22:47:47
294,senanga,-16.1167,23.2667,18.52,98,100,2.66,ZM,02/08/2023 22:47:47
295,brae,60.3964,-1.353,4.66,68,99,15.07,GB,02/08/2023 22:47:47
296,olafsvik,64.8945,-23.7142,-4.43,60,100,9.69,IS,02/08/2023 22:44:24
297,katunino,64.3862,40.6298,-2.06,88,99,6.19,RU,02/08/2023 22:47:48
298,nanakuli,21.3906,-158.1547,25.97,51,0,6.17,US,02/08/2023 22:47:48
299,russell,32.3502,-85.1999,20.57,88,0,0.0,US,02/08/2023 22:47:48
